,写字楼名称,所在市区,租金,竣工时间,纬度,经度,geometry
300,歆翱申窑艺术中心,上海市嘉定区,1.9-3元/m2/天,2016年改造,31.249886,121.336626,POINT (121.336626 31.249886)
301,邮电大厦,上海市闸北区,2.6-3.9元/m2/天,1989年,31.247495,121.453363,POINT (121.453363 31.247495)
302,航天大厦,上海市徐汇区,2.9-6.3元/m2/天,2002年6月,31.171272,121.43478,POINT (121.43478 31.171272)
303,东华大学科技园,上海市长宁区,3-5.2元/m2/天,2004年9月,31.220158,121.359748,POINT (121.359748 31.220158)
304,鑫达大厦,上海市长宁区,3.9-5.2元/m2/天,,31.20519,121.399463,POINT (121.399463 31.20519)
305,新上海国际大厦（国企楼盘）,上海市浦东区,4.5-10元/m2/天,1998年,31.238162,121.510112,POINT (121.510112 31.238162)
306,龙之梦大厦（中山公园）,上海市长宁区,7.3-9.2元/m2/天,2010年10月,31.218704,121.417624,POINT (121.417624 31.218704)
307,e通世界虹桥园(南区),上海市青浦区,1.8-4元/m2/天,,31.196187,121.266467,POINT (121.266467 31.196187)
308,九星虹桥中心,上海市长宁区,4.5-5.7元/m2/天,,31.194317,121.309585,POINT (121.309585 31.194317)
309,华夏银行大厦,上海市浦东区,4.5-8.7元/m2/天,1997年,31.238799,121.509526,POINT (121.509526 31.238799)
310,三林金融众创园,上海市浦东区,2.8-3.6元/m2/天,,31.137819,121.500947,POINT (121.500947 31.137819)
311,智苑文创空间,上海市闸北区,3.2-3.6元/m2/天,2015年,31.284453,121.451218,POINT (121.451218 31.284453)
312,智汇园,上海市徐汇区,3-4.5元/m2/天,2003年2月,31.176956,121.400732,POINT (121.400732 31.176956)
313,泛太平洋大厦,上海市静安区,6.1-8.5元/m2/天,2007年4月,31.229141,121.451846,POINT (121.451846 31.229141)
314,亚龙·东朔空间,上海市闸北区,3.2-4.6元/m2/天,2017年,31.303715,121.451496,POINT (121.451496 31.303715)
315,芯工创意园,上海市杨浦区,3-4元/m2/天,2018年10月,31.274806,121.552265,POINT (121.552265 31.274806)
316,德必运动LOFT,上海市虹口区,3.1-8元/m2/天,2010年,31.270299,121.474045,POINT (121.474045 31.270299)
317,曹杨商务大厦,上海市普陀区,2.5-3.8元/m2/天,2007年1月,31.234638,121.392058,POINT (121.392058 31.234638)
318,建工汇豪商务广场（国企楼盘）,上海市徐汇区,5-6元/m2/天,2014年5月,31.187375,121.41728,POINT (121.41728 31.187375)
319,中新传媒大厦,上海市浦东区,3.2-4.8元/m2/天,2016年7月,31.255351,121.611179,POINT (121.611179 31.255351)
320,德邦双子楼,上海市青浦区,1.9-3.25元/m2/天,2019年,-0.006505,-0.006004,POINT (-0.006004 -0.006505)
321,时代金融中心,上海市浦东区,9.5-12.8元/m2/天,2005年,31.240134,121.507279,POINT (121.507279 31.240134)
322,复旦软件园,上海市宝山区,2-3元/m2/天,,31.338825,121.495511,POINT (121.495511 31.338825)
323,静安新时代大厦,上海市静安区,4.5-9.6元/m2/天,2001年,31.229751,121.460777,POINT (121.460777 31.229751)
324,华辰金融大厦,上海市浦东区,4.9-6.8元/m2/天,,31.240077,121.530971,POINT (121.530971 31.240077)
325,云景德必易园,上海市徐汇区,5.5-5.8元/m2/天,2022年,31.162603,121.425691,POINT (121.425691 31.162603)
326,越界·500视觉园,上海市徐汇区,4.4-7.5元/m2/天,2010年,31.198543,121.468785,POINT (121.468785 31.198543)
327,凯迪立方大厦,上海市杨浦区,4.9-5.9元/m2/天,2021年1月份,31.310598,121.508556,POINT (121.508556 31.310598)
328,智慧坊创意产业园,上海市杨浦区,1.85-5.3元/m2/天,2020年（改造）,31.274058,121.548114,POINT (121.548114 31.274058)
329,欧银集心大楼,上海市闵行区,2.4-4.5元/m2/天,2016年6月,31.109684,121.41568,POINT (121.41568 31.109684)
330,斯米克大厦,上海市浦东区,3.7-5.75元/m2/天,2002年,31.229687,121.52071,POINT (121.52071 31.229687)
331,银石科技园,上海市闵行区,3.5-4.8元/m2/天,,31.130623,121.360632,POINT (121.360632 31.130623)
332,桂中园,上海市徐汇区,3-3.8元/m2/天,1998年6月,31.167773,121.404001,POINT (121.404001 31.167773)
333,四行仓库（国企楼盘）,上海市闸北区,5.5-6.5元/m2/天,2015年8月,31.239662,121.472021,POINT (121.472021 31.239662)
334,Enjoy趣办·瑞泰轩,上海市黄浦区,10-25元/m2/天,,31.207703,121.467116,POINT (121.467116 31.207703)
335,飞马旅（静安）新文娱创新园,上海市闸北区,2.4-3.5元/m2/天,2017年,31.291006,121.424011,POINT (121.424011 31.291006)
336,乐业loft创意中心,上海市宝山区,2-3元/m2/天,2018年11月15日,31.32384,121.453246,POINT (121.453246 31.32384)
337,莘东置业大厦,上海市闵行区,2-5元/m2/天,2011年8月,31.106561,121.361497,POINT (121.361497 31.106561)
338,沙田大厦,上海市普陀区,3.5-6元/m2/天,2004年,31.237039,121.435077,POINT (121.435077 31.237039)
339,钦江园,上海市徐汇区,3.2-4.3元/m2/天,2008年1月,31.17377,121.400298,POINT (121.400298 31.17377)
340,国峰科技大厦,上海市长宁区,3.5-4.6元/m2/天,2000年,31.192103,121.420974,POINT (121.420974 31.192103)
341,力国大楼,上海市闵行区,3.7-4.2元/m2/天,,31.159869,121.348621,POINT (121.348621 31.159869)
342,兆丰世贸大厦,上海市长宁区,5.4-7.3元/m2/天,,31.219011,121.431977,POINT (121.431977 31.219011)
343,光启园,上海市徐汇区,3.4-4.3元/m2/天,2007年5月,31.178375,121.409998,POINT (121.409998 31.178375)
344,吉树空间-日月光中心,上海市黄浦区,7.4-7.6元/m2/天,2011年,31.206799,121.468807,POINT (121.468807 31.206799)
345,旺瓯·霍客云创里,上海市浦东区,3.5-4.5元/m2/天,2018年1月,31.258016,121.559766,POINT (121.559766 31.258016)
346,福德大厦,上海市虹口区,2.2-4.5元/m2/天,,31.257239,121.484101,POINT (121.484101 31.257239)
347,中建幸福大厦,上海市闸北区,3.2-4元/m2/天,2018年7月,31.304387,121.451523,POINT (121.451523 31.304387)
348,浦江道创空间,上海市闵行区,1.4-1.7元/m2/天,2015年,31.088752,121.524643,POINT (121.524643 31.088752)
349,金航大厦,上海市静安区,4.8-5.5元/m2/天,2005年,31.224743,121.443796,POINT (121.443796 31.224743)
350,闵欣大厦（国企楼盘）,上海市闵行区,2.5-3元/m2/天,2012年7月,31.125358,121.354434,POINT (121.354434 31.125358)
351,瑞明大厦,上海市浦东区,9.9-11.8元/m2/天,2018年10月,31.241165,121.511047,POINT (121.511047 31.241165)
352,城市概念创意园（国企楼盘）,上海市杨浦区,3-3.3元/m2/天,2018年,31.275345,121.542654,POINT (121.542654 31.275345)
353,祥鹿大厦,上海市闵行区,2.3-2.8元/m2/天,2005年6月,31.126265,121.354542,POINT (121.354542 31.126265)
354,中建广场（国企楼盘）,上海市浦东区,5.9-7.9元/m2/天,2017年,31.185505,121.508826,POINT (121.508826 31.185505)
355,茸锦浦江科技园,上海市闵行区,1.6-2.53元/m2/天,2016年,31.069187,121.51682,POINT (121.51682 31.069187)
